review_text;sentiment;clean_text
Lumayan oke, tapi kayaknya bisa lebih interaktif lagi deh.;1.0;lumayan oke kayak interaktif deh
Biasa aja, gak ada yang spesial banget. Ekspektasi ketinggian kayaknya.;1.0;aja gak spesial banget ekspektasi tinggi kayak
Kurikulumnya bisa lebih personal lagi sih, biar makin pas sama kebutuhan.;1.0;kurikulum personal sih biar pas butuh
Cukup oke lah buat harga segitu. Gak rugi-rugi amat.;1.0;oke harga segitu gak rugirugi
Enaknya sih kalo ada rekaman sesi, jadi bisa diulang-ulang.;1.0;enak sih kalo rekam sesi diulangulang
Materinya ya standar aja sih. Gak ada yang baru banget, tapi okelah.;1.0;materi ya standar aja sih gak banget oke
Ada beberapa modul yang oke, tapi sisanya ngebosenin parah.;1.0;modul oke sisa ngebosenin parah
Instrukturnya lumayan jelas, tapi kadang ngomongnya terlalu cepet.;1.0;instruktur lumayan kadang ngomongnya cepet
Platformnya stabil, jarang ada kendala teknis yang berarti.;1.0;platform stabil jarang kendala teknis
Sertifikatnya udah diterima, tapi belum keliatan efeknya buat karir.;1.0;sertifikat udah terima liat efek karir
Materinya ada yang kurang dalem sih, padahal udah premium. Agak nanggung.;1.0;materi dalem sih udah premium nanggung
Platformnya kurang user-friendly, agak ribet buat pemula.;1.0;platform userfriendly ribet mula
Lumayan sih, dapet beberapa ilmu baru. Gak rugi-rugi amat.;1.0;lumayan sih dapet ilmu gak rugirugi
Beberapa link materi di modul udah mati. Perlu diupdate.;1.0;link materi modul udah mati diupdate
Harganya masih masuk akal buat kantong mahasiswa/pelajar.;1.0;harga masuk akal kantong mahasiswapelajar
Instrukturnya seru, tapi materinya kurang 'berbobot' gitu.;1.0;instruktur seru materi bobot gitu
Dapet bonus e-book, lumayan buat nambah bacaan.;1.0;dapet bonus ebook lumayan nambah baca
Sayang banget gak ada sesi live Q&A langsung sama instrukturnya.;1.0;sayang banget gak sesi live qa langsung instruktur
Ya standar aja sih, gak ada yang istimewa banget. Biasa aja.;1.0;ya standar aja sih gak istimewa banget aja
Lumayan buat nambah wawasan umum, tapi gak terlalu teknis.;1.0;lumayan nambah wawas gak teknis
Ada beberapa materi yang bagus, tapi sisanya kayak pengulangan.;1.0;materi bagus sisa kayak ulang
Sesuai fungsinya lah, gak ada yang wah banget.;1.0;sesuai fungsi gak banget
Kalo ada materi fisik, pengirimannya cepet. Oke lah.;1.0;kalo materi fisik kirim cepet oke
Materinya standar lah ya. Gak yang gimana-gimana banget, tapi oke buat dasar.;1.0;materi standar ya gak gimanagimana banget oke dasar
Ada modul yang seru, ada yang B aja. Ya gitu deh, plus minus.;1.0;modul seru b aja ya gitu deh plus minus
Instrukturnya lumayan, tapi ada beberapa part yang bisa lebih detail lagi sih.;1.0;instruktur lumayan part detail sih
Platformnya oke lah buat operasional, jarang ada drama teknis.;1.0;platform oke operasional jarang drama teknis
Sertifikatnya dapet, tapi impact-nya belum kerasa banget. So-so aja.;1.0;sertifikat dapet impactnya rasa banget soso aja
Yaah, sesuai harga lah ya. Gak jelek-jelek amat, tapi gak wow juga.;1.0;yaah sesuai harga ya gak jelekjelek gak wow
